experiment_name,condition_name,method,run,seed,target_speed,uav_rates,fusion_rate,packet_loss,delay,bearing_noise_deg,position_noise_m,sync_tolerance_s,sliding_window_s,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,availability_percent,valid_estimates,invalid_fusion_cycles,mean_active_rays,mean_contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,mean_condition_number,packet_loss_count,stale_rejected_count,duplicate_count,out_of_order_count,monte_carlo_runs
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,0,7,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.0988692283920956,1.9091851925471568,1.802628818643604,3.5163835832898247,6.254704597476872,100.0,300,0,4.0,4.0,0.0,0.0,1.8890344609055145,7.1626924413050554,1.6923188593836038,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,1,8,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.101274794331946,1.944315201333307,1.7988615633507956,3.256756838218466,4.65267824532891,100.0,300,0,4.0,4.0,0.0,0.0,1.851999070982891,7.322021681005078,1.692103743050937,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,2,9,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.0326115944602954,1.8617324424001596,1.7945290478353355,3.372067289067504,4.463585287228223,100.0,300,0,4.0,4.0,0.0,0.0,1.8603560127326129,6.2500804929038365,1.6942569440454058,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,3,10,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.9972392238331502,1.8310855512203186,1.7581766074069614,3.3960293572573743,4.7062428006761685,100.0,300,0,4.0,4.0,0.0,0.0,1.873204061681181,6.18186520355344,1.6923831531090847,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,4,11,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.0733078364568414,1.8735330449192626,1.7625029506224636,3.610836744541464,4.492751645162172,100.0,300,0,4.0,4.0,0.0,0.0,1.825679178386932,6.492742006978322,1.693140238219991,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,5,12,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.173948386097247,1.9874977069815032,1.8681787630116045,3.475740423413963,5.1920194738305065,100.0,300,0,4.0,4.0,0.0,0.0,1.899663022243407,6.238998959986604,1.6950110597569255,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,6,13,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.9989426897018823,1.8333125115797133,1.753781304055689,3.19148430795062,4.445143012789653,100.0,300,0,4.0,4.0,0.0,0.0,1.7931303966686247,5.941737825066662,1.6897425750882986,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,7,14,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.04152995355524,1.8478754733219895,1.7705786973982254,3.491825189790495,4.669734867182912,100.0,300,0,4.0,4.0,0.0,0.0,1.867519693589796,6.747642797626132,1.6916093768280316,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,8,15,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.14038056128789,1.9461085080456317,1.869438213047705,3.756984640260104,4.452056931338097,100.0,300,0,4.0,4.0,0.0,0.0,1.876776748183795,7.0656809872892765,1.6945201776392331,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,9,16,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.08651035913713,1.9015248299052818,1.794717639206175,3.481638306641919,4.96434324828182,100.0,300,0,4.0,4.0,0.0,0.0,1.8611101882499221,7.598563294237615,1.6917101370057106,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,10,17,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.0948934883050034,1.9019006702333612,1.762063395213763,3.6242109638354374,4.690385157860225,100.0,300,0,4.0,4.0,0.0,0.0,1.819897927090097,5.577098012482771,1.6926387781262089,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,11,18,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.12581613874243,1.94708251251907,1.8056510922711633,3.3935647733313505,4.684478723883203,100.0,300,0,4.0,4.0,0.0,0.0,1.8437999494458246,7.025034589765944,1.6935118047609554,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,12,19,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.079218326344061,1.9088674807941008,1.7659890977093131,3.43336329437121,4.4997804797048175,100.0,300,0,4.0,4.0,0.0,0.0,1.8823925349423742,7.254265478783409,1.6908307257359225,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,13,20,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.1247003507506137,1.9255252411967843,1.7711221979409741,3.6180437672478223,4.936433344943606,100.0,300,0,4.0,4.0,0.0,0.0,1.8453927702191997,6.664785987637353,1.6943802864260735,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,14,21,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.9882649123422147,1.825828320767342,1.7693932627569677,3.1550155414108283,4.579292508179462,100.0,300,0,4.0,4.0,0.0,0.0,1.8372806559394643,5.762420689316911,1.6930977911937384,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,15,22,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.0522515378743678,1.8649596427304178,1.7694409469430845,3.2841445749227764,4.406079459659097,100.0,300,0,4.0,4.0,0.0,0.0,1.8689317636824496,7.396972269295267,1.6929772337674263,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,16,23,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.0782985391527844,1.8746151389747778,1.777444690871794,3.5652812922639043,5.374247102532816,100.0,300,0,4.0,4.0,0.0,0.0,1.9166654845580338,6.579113996826255,1.6948003438295967,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,17,24,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.0574092301550966,1.8876577549167843,1.8208967288873035,3.216098185790142,4.629424057653841,100.0,300,0,4.0,4.0,0.0,0.0,1.8273483589640767,5.909092654791551,1.6923086380825514,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,18,25,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.066161352388624,1.8741476484634685,1.7492387770601139,3.3608729334947185,5.601592315039267,100.0,300,0,4.0,4.0,0.0,0.0,1.8759399196946136,6.123882348694448,1.693629317156156,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,synchronized_bearing_fusion,19,26,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,2.0827173996053765,1.9099721201472186,1.8063917581425257,3.3659080096543286,4.183844720366429,100.0,300,0,4.0,4.0,0.0,0.0,1.8474385715995432,5.913812866344879,1.6951133375329452,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,0,1007,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.2160138740957416,1.1293629957893379,1.0829723679081265,1.9362487903224779,2.5209325170711923,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.202581439674461,8.708928975229652,1.680598208473993,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,1,1008,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.1867007964265817,1.0895610591926619,1.046108640324815,1.972875725267619,2.891329831060084,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.1204780589821484,7.541564945345439,1.6770419456502976,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,2,1009,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.239360282070283,1.1203447641660458,1.0659553125470522,1.9912692187589291,4.234236052190435,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.157492581558102,8.08700298472837,1.6776650598607388,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,3,1010,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.2446422908005506,1.132731352400296,1.087030464389918,2.021950261586793,3.1617895136656697,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.1664006199183454,8.465078880831923,1.6786317543571598,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,4,1011,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.1649327210907627,1.0680890154598803,0.9854492430629886,1.921370932662904,2.895594483987981,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.110770846935609,8.682201157054065,1.6778790143049596,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,5,1012,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.2078149483038574,1.1016896089651027,1.054243050643621,1.9262044831324452,3.2927157827759577,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.211423714067949,8.36655913960356,1.6796373436036296,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,6,1013,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.2803110372472921,1.1685806886587213,1.1000506610356648,2.147770997627032,2.7962998420851366,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.195817669028891,7.862745311777907,1.6809295761009457,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,7,1014,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.0852398104728918,0.9912900061802425,0.9427748120636401,1.849453229201693,2.459153345928266,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.116376752743763,7.75698153017757,1.6802448500189056,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,8,1015,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.2475288425294346,1.1502594105312314,1.1428154071548495,2.0228930873836775,2.398529731884943,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.1470462885598183,9.898821713482,1.6773434818522461,0,0,0,0,20
1A_ideal_synchronized,ideal_static_5hz,tro_sliding_window_fusion,9,1016,0.0,5;5;5;5,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.217001990069775,1.1104655167988888,1.03111509949981,2.020216628168054,2.73678126587121,100.0,300,0,11.96,4.0,0.19900000000000104,0.4000000000000057,2.201292182564246,8.429663479460405,1.680129985856453,0,0,0,0,20
